Cell	Longitude	Latitude
433	34.971756	47.15103
434	34.99812	47.150574
435	35.024483	47.150112
436	35.05085	47.149643
437	35.077213	47.149166
438	35.103573	47.148685
439	35.129936	47.148197
440	34.101757	47.180702
441	34.12815	47.180447
442	34.15454	47.180183
443	34.18093	47.179913
444	34.20732	47.179638
445	34.23371	47.179356
446	34.260098	47.17907
447	34.286488	47.178776
448	34.312878	47.17848
449	34.339264	47.178173
450	34.36565	47.17786
451	34.392036	47.177544
452	34.418423	47.17722
453	34.44481	47.176888
454	34.471195	47.17655
455	34.49758	47.176212
456	34.523964	47.175865
457	34.55035	47.17551
458	34.576733	47.175148
459	34.603115	47.17478
460	34.629498	47.17441
461	34.65588	47.174034
462	34.682262	47.17365
463	34.708645	47.173256
464	34.735023	47.17286
465	34.761402	47.17246
466	34.78778	47.17205
467	34.81416	47.171635
468	34.840538	47.171215
469	34.866917	47.170788
470	34.89329	47.170353
471	34.91967	47.169914
472	34.946045	47.169468
473	34.97242	47.169018
474	34.998795	47.16856
475	35.02517	47.1681
476	35.05154	47.16763
477	35.07791	47.167152
478	35.104286	47.16667
479	35.130657	47.166183
480	34.10213	47.198696
481	34.128532	47.19844
482	34.15493	47.198177
483	34.181328	47.197906
484	34.20773	47.19763
485	34.234127	47.19735
486	34.260525	47.197063
487	34.286922	47.19677
488	34.31332	47.19647
489	34.339718	47.196163
490	34.36611	47.19585
491	34.39251	47.195534
492	34.418903	47.19521
493	34.445297	47.19488
494	34.471695	47.194546
495	34.49809	47.194202
496	34.52448	47.193855
497	34.550873	47.1935
498	34.577267	47.19314
499	34.603657	47.192772
500	34.63005	47.1924
501	34.65644	47.19202
502	34.68283	47.191635
503	34.70922	47.191246
504	34.73561	47.19085
505	34.761997	47.190445
506	34.788387	47.190037
507	34.814774	47.18962
508	34.84116	47.1892
509	34.867546	47.188774
510	34.893932	47.18834
511	34.92032	47.1879
512	34.9467	47.187454
513	34.973087	47.187004
514	34.99947	47.186546
515	35.025852	47.186085
516	35.052235	47.18561
517	35.078617	47.18514
518	35.104996	47.184654
519	35.131374	47.184166
520	34.102505	47.21669
521	34.128914	47.21643
522	34.155323	47.216167
523	34.18173	47.2159
524	34.208138	47.215626
525	34.234543	47.215343
526	34.260952	47.215054
527	34.287357	47.21476
528	34.313763	47.214462
529	34.340168	47.214157
530	34.366573	47.213844
531	34.39298	47.213528
532	34.419384	47.213203
533	34.44579	47.21287
534	34.47219	47.212536
535	34.498592	47.212193
536	34.524998	47.211845
537	34.5514	47.21149
538	34.5778	47.21113
539	34.6042	47.210762
540	34.6306	47.21039
541	34.657	47.21001
542	34.6834	47.209625
543	34.709797	47.209236
544	34.7362	47.20884
545	34.762592	47.208435
546	34.78899	47.208027
547	34.815388	47.20761
548	34.84178	47.207188
549	34.86818	47.20676
550	34.894573	47.20633
551	34.920967	47.205887
552	34.94736	47.20544
553	34.973755	47.20499
554	35.000145	47.204533
555	35.02654	47.204067
556	35.05293	47.203598
557	35.07932	47.20312
558	35.10571	47.20264
559	35.132095	47.202152
560	34.10288	47.234684
561	34.129295	47.234425
562	34.155712	47.23416
563	34.18213	47.233894
564	34.208546	47.233616
565	34.234962	47.233334
566	34.26138	47.233047
567	34.287792	47.232754
568	34.31421	47.232452
569	34.340622	47.232147
570	34.36704	47.231834
571	34.39345	47.231518
572	34.419865	47.231194
573	34.446278	47.23086
574	34.47269	47.230526
575	34.4991	47.230183
576	34.525513	47.229836
577	34.55192	47.22948
578	34.578335	47.22912
579	34.604744	47.228752
580	34.631153	47.22838
581	34.657562	47.228
582	34.683968	47.227615
583	34.710377	47.227222
584	34.736786	47.226826
585	34.76319	47.22642
586	34.789597	47.226013
587	34.816	47.225597
588	34.842407	47.225178
589	34.868813	47.224747
590	34.895214	47.224316
591	34.921616	47.223873
592	34.94802	47.22343
593	34.974422	47.222977
594	35.000824	47.22252
595	35.02722	47.222054
596	35.053623	47.221584
597	35.08002	47.221107
598	35.10642	47.220627
599	35.132816	47.220135
600	34.103252	47.252678
601	34.129677	47.25242
602	34.156105	47.252155
603	34.18253	47.251884
604	34.208954	47.25161
605	34.235382	47.251328
606	34.261806	47.25104
607	34.28823	47.250748
608	34.314655	47.250446
609	34.341076	47.25014
610	34.3675	47.24983
611	34.39392	47.249508
612	34.420345	47.249184
613	34.446766	47.248856
614	34.473186	47.248516
615	34.499607	47.248173
616	34.526028	47.247826
617	34.55245	47.24747
618	34.57887	47.24711
619	34.605286	47.246742
620	34.631706	47.24637
621	34.658123	47.24599
622	34.68454	47.245605
623	34.710957	47.245213
624	34.737373	47.244816
625	34.763786	47.24441
626	34.790203	47.244003
627	34.816616	47.243587
628	34.84303	47.243164
629	34.869442	47.242737
630	34.895855	47.242302
631	34.922268	47.241863
632	34.94868	47.241417
633	34.97509	47.240963
634	35.0015	47.240505
635	35.02791	47.24004
636	35.054317	47.23957
637	35.080727	47.239094
638	35.107132	47.23861
639	35.133537	47.23812
640	34.103626	47.270668
641	34.130062	47.270412
642	34.156494	47.27015
643	34.18293	47.26988
644	34.209366	47.269604
645	34.235798	47.26932
646	34.262234	47.26903
647	34.288666	47.268738
648	34.315098	47.268436
649	34.34153	47.26813
650	34.36796	47.26782
651	34.394394	47.2675
652	34.420826	47.267174
653	34.447258	47.266846
654	34.473686	47.266506
655	34.50012	47.266163
656	34.526546	47.265816
657	34.552975	47.26546
658	34.579403	47.2651
659	34.60583	47.264732
660	34.63226	47.26436
661	34.658684	47.263977
662	34.685112	47.26359
663	34.711536	47.263203
664	34.73796	47.262802
665	34.764385	47.262398
666	34.79081	47.26199
667	34.817234	47.261574
668	34.843655	47.26115
669	34.870075	47.260723
670	34.8965	47.26029
671	34.92292	47.25985
672	34.94934	47.259403
673	34.975758	47.25895
674	35.00218	47.25849
675	35.028595	47.258026
676	35.05501	47.257553
677	35.08143	47.257076
678	35.107845	47.256596
679	35.134262	47.256104
680	34.104	47.288662
681	34.130444	47.288406
682	34.156887	47.288143
683	34.18333	47.287872
684	34.209774	47.287594
685	34.236217	47.28731
686	34.26266	47.287025
687	34.289104	47.28673
688	34.315544	47.28643
689	34.341988	47.28612
690	34.368427	47.28581
691	34.394867	47.285492
692	34.421307	47.285168
693	34.447746	47.284836
694	34.474186	47.2845
695	34.500626	47.284157
696	34.527065	47.283806
697	34.5535	47.28345
698	34.579937	47.28309
699	34.606377	47.282722
700	34.632812	47.28235
701	34.65925	47.281967
702	34.68568	47.28158
703	34.712116	47.28119
704	34.73855	47.280792
705	34.764984	47.280388
706	34.791416	47.279976
707	34.81785	47.27956
708	34.84428	47.27914
709	34.870712	47.27871
710	34.89714	47.278275
711	34.923573	47.277836
712	34.95	47.27739
713	34.97643	47.276936
714	35.002857	47.276474
715	35.02928	47.276012
716	35.05571	47.27554
717	35.082134	47.275063
718	35.108562	47.27458
719	35.134987	47.27409
720	34.104374	47.306656
721	34.13083	47.3064
722	34.15728	47.306133
723	34.183735	47.305862
724	34.210186	47.305588
725	34.236637	47.305305
726	34.26309	47.305016
